company_name,model,star,num_ratings,reviews,ram,storage,expandable,display,camera,battery,processor,warranty,price
OPPO,"OPPO K10 (Blue Flame, 128 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,14990
OPPO,"OPPO K10 (Black Carbon, 128 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,14990
SAMSUNG,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,11999
CAT,"CAT S62 Pro (Black, 128 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,79900
SAMSUNG,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,11999
SAMSUNG,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.1,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,11999
MOTOROLA,"MOTOROLA e40 (Pink Clay, 64 GB)",4.1,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,8599
Lava,Lava Pulse1- with contactless Talking Thermometer,4.1,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1638
MOTOROLA,"MOTOROLA e40 (Carbon Gray, 64 GB)",4.2,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,8599
Nokia,Nokia 105 SS,4.1,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1299
LAVA,LAVA A1 2021,3.8,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1223
Micromax,Micromax X513+,4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1298
vivo,"vivo T1 44W (Ice Dawn, 128 GB)",4.4,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,14499
vivo,"vivo T1 44W (Starry Sky, 128 GB)",4.3,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,14499
Infinix,"Infinix HOT 12 Play (Champagne Gold, 64 GB)",4.3,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,8499
SAMSUNG,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.0,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,18499
Micromax,Micromax X416,4.2,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1208
LAVA,LAVA Gem Wave / GEM,4.3,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1848
SAMSUNG,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)",4.2,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,18499
MOTOROLA,"MOTOROLA g52 (Charcoal Grey, 128 GB)",3.8,73145,5459,6,128, 1 TB,16.74 cm (6.59 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,13999
PHILIPS,PHILIPS E102A,4.5,73145,5459,6,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,1239
realme,"realme C33 (Sandy Gold, 32 GB)",4.4,73145,5459,6,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,8999
vivo,"vivo T1 44W (Midnight Galaxy, 128 GB)",4.3,73145,5459,6,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,14499
Infinix,"Infinix HOT 12 Play (Horizon Blue, 64 GB)",4.5,73145,5459,6,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium Ion Battery,Qualcomm Snapdragon 680 Processor,1 Year on Handset And 6 Months on Accessories,8499
realme,"realme 9i (Prism Black, 64 GB)",4.5,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,13500
realme,"realme 9i (Prism Black, 128 GB)",3.9,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,16000
CAT,"CAT S62 Pro (Black, 128 GB)",4.2,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,79900
Micromax,Micromax X412,4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1069
MOTOROLA,"MOTOROLA g52 (Metallic White, 128 GB)",4.1,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,13999
SAMSUNG,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.1,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,11999
Lava,Lava Pulse1- with contactless Talking Thermometer,4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1638
LAVA,LAVA A1 2021,4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1223
OPPO,"OPPO K10 (Black Carbon, 128 GB)",4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,16990
SAMSUNG,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",4.4,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,18499
vivo,"vivo T1 5G (Rainbow Fantasy, 128 GB)",3.8,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,15990
vivo,"vivo T1 5G (Rainbow Fantasy, 128 GB)",4.0,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,16990
Micromax,Micromax X513+,4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1298
Micromax,Micromax X416,4.1,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1208
vivo,"vivo T1 5G (Starlight Black, 128 GB)",4.2,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,15990
REDMI,"REDMI 10A (Slate Grey, 32 GB)",3.8,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,7581
LAVA,LAVA Gem Wave / GEM,4.4,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1848
PHILIPS,PHILIPS E102A,4.5,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1239
vivo,"vivo T1 44W (Starry Sky, 128 GB)",4.2,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,15999
realme,"realme C33 (Aqua Blue, 32 GB)",4.2,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,8999
REDMI,"REDMI 10A (Slate grey, 64 GB)",4.3,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,8879
REDMI,"REDMI 10A (Charcoal Black, 64 GB)",4.5,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,8866
SAMSUNG,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4.5,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,11999
realme,"realme C33 (Night Sea, 32 GB)",5.0,102219,5868,4,64 M,1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,8999
realme,"realme 9i (Prism Black, 128 GB)",5.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,15000
MOTOROLA,"MOTOROLA G60 (Moonless, 128 GB)",4.1,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,14999
CAT,"CAT S62 Pro (Black, 128 GB)",1.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,79900
Micromax,Micromax X412,5.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1069
vivo,"vivo T1X (Gravity Black, 128 GB)",4.3,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,12999
Infinix,"Infinix Note 12 (Jewel Blue, 64 GB)",5.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,9999
MOTOROLA,"MOTOROLA G32 (Satin Silver, 64 GB)",1.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,11999
MOTOROLA,"MOTOROLA G51 5G (Indigo Blue, 64 GB)",3.8,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,12249
Lava,Lava Pulse1- with contactless Talking Thermometer,4.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1638
LAVA,LAVA A1 2021,4.0,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1223
Infinix,"Infinix Hot 12 (7° Purple, 64 GB)",4.5,102219,5868,4,128, 1 TB,16.76 cm (6.6 inch),50MP + 2MP + 2MP | 16MP Front Camera,5000 mAh Lithium ion Battery,Qualcomm Snapdragon 680 (SM6225) Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,8999
